id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
880,Once Upon a Time... in Hollywood,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,161 min,7.6,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"142,502,728",,83.0,551309,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,A
881,Nelyubov,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,"https://m.media-amazon.com/images/M/MV5BNzk2NmU3NmEtMTVhNS00NzJhLWE1M2ItMThjZjI5NWM3YmFmXkEyXkFqcGdeQXVyMjA1MzUyODk@._V1_UY98_CR1,0,67,98_AL_.jpg",2017,127 min,7.6,[{'name': 'Drama'}],,,,0,"566,356",,86.0,29765,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva,R
882,The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.","https://m.media-amazon.com/images/M/MV5BMjg4ZmY1MmItMjFjOS00ZTg2LWJjNDYtNDM2YmM2NzhiNmZhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_UX67_CR0,0,67,98_AL_.jpg",2017,111 min,7.6,[{'name': 'Drama'}],,,,0,"5,904,366",,92.0,95181,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,A
883,Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,"https://m.media-amazon.com/images/M/MV5BYmM4YzA5NjUtZGEyOS00YzllLWJmM2UtZjhhNmJhM2E1NjUxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,137 min,7.6,"[{'name': 'Biography'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,,,68.0,46739,Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.,A
884,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.","https://m.media-amazon.com/images/M/MV5BMjQ2NDU3NDE0M15BMl5BanBnXkFtZTgwMjA3OTg0MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",2017,101 min,7.6,[{'name': 'Drama'}],,,,0,"24,801,212",,60.0,99643,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,PG-13
885,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,"https://m.media-amazon.com/images/M/MV5BOWVmZGQ0MGYtMDI1Yy00MDkxLWJiYjQtMmZjZmQ0NDFmMDRhXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,97 min,7.6,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"13,122,642",,70.0,66346,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,PG-13
886,Victoria,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,"https://m.media-amazon.com/images/M/MV5BMTc5NzQzNjk2NF5BMl5BanBnXkFtZTgwODU0MjI5NjE@._V1_UY98_CR0,0,67,98_AL_.jpg",2015,138 min,7.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,,,77.0,52903,Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit,
887,Mustang,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.","https://m.media-amazon.com/images/M/MV5BMTkwODUzODA0OV5BMl5BanBnXkFtZTgwMTA3ODkxNzE@._V1_UY98_CR0,0,67,98_AL_.jpg",2015,97 min,7.6,[{'name': 'Drama'}],,,,0,"845,464",,83.0,35785,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,PG-13
888,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_UX67_CR0,0,67,98_AL_.jpg",2017,136 min,7.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"389,813,101",,67.0,569974,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,UA
889,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UX67_CR0,0,67,98_AL_.jpg",2017,113 min,7.6,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"107,825,862",,86.0,439406,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,UA
890,Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.","https://m.media-amazon.com/images/M/MV5BYWFlOWI3YTMtYTk3NS00YWQ2LTlmYTMtZjk0ZDk4Y2NjODI0XkEyXkFqcGdeQXVyNTQxNTQ4Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",2017,134 min,7.6,"[{'name': 'Action'}, {'name': 'Biography'}, {'name': 'Drama'}]",,,,0,"18,340,051",,72.0,58371,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,UA
891,Bridge of Spies,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","https://m.media-amazon.com/images/M/MV5BMjIxOTI0MjU5NV5BMl5BanBnXkFtZTgwNzM4OTk4NTE@._V1_UX67_CR0,0,67,98_AL_.jpg",2015,142 min,7.6,"[{'name': 'Drama'}, {'name': 'History'}, {'name': 'Thriller'}]",,,,0,"72,313,754",,81.0,287659,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,UA
892,Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,"https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_UX67_CR0,0,67,98_AL_.jpg",2018,118 min,7.6,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Adventure'}]",,,,0,"608,581,744",,80.0,250057,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,UA
893,Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",2016,107 min,7.6,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"248,757,044",,81.0,272784,Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,U
894,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",2015,121 min,7.6,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"46,889,293",,82.0,371291,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,A
895,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","https://m.media-amazon.com/images/M/MV5BNmZkYjQzY2QtNjdkNC00YjkzLTk5NjUtY2MyNDNiYTBhN2M2XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UX67_CR0,0,67,98_AL_.jpg",2015,133 min,7.6,"[{'name': 'Drama'}, {'name': 'Sport'}]",,,,0,"109,767,581",,82.0,247666,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,A
896,Leviafan,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.","https://m.media-amazon.com/images/M/MV5BYTYxZjQ2YTktNmVkMC00ZTY4LThkZmItMDc4MTJiYjVhZjM0L2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY98_CR1,0,67,98_AL_.jpg",2014,140 min,7.6,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"1,092,800",,92.0,49397,Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,R
897,Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,"https://m.media-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_UX67_CR0,0,67,98_AL_.jpg",2016,102 min,7.6,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"26,862,450",,88.0,204175,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,R
898,Philomena,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.","https://m.media-amazon.com/images/M/MV5BMjA5ODgyNzcxMV5BMl5BanBnXkFtZTgwMzkzOTYzMDE@._V1_UX67_CR0,0,67,98_AL_.jpg",2013,98 min,7.6,"[{'name': 'Biography'}, {'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"37,707,719",,77.0,94212,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,PG-13
899,Dawn of the Planet of the Apes,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,"https://m.media-amazon.com/images/M/MV5BMTgwODk3NDc1N15BMl5BanBnXkFtZTgwNTc1NjQwMjE@._V1_UX67_CR0,0,67,98_AL_.jpg",2014,130 min,7.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"208,545,589",,79.0,411599,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,UA
900,El cuerpo,A detective searches for the body of a femme fatale which has gone missing from a morgue.,"https://m.media-amazon.com/images/M/MV5BNGMxZjFkN2EtMDRiMS00ZTBjLWI0M2MtZWUyYjFhZGViZDJlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2012,112 min,7.6,"[{'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,,,,57549,Oriol Paulo,Jose Coronado,Hugo Silva,Belén Rueda,Aura Garrido,
901,Serbuan maut,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,"https://m.media-amazon.com/images/M/MV5BZGIxODNjM2YtZjA5Mi00MjA5LTk2YjItODE0OWI5NThjNTBmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",2011,101 min,7.6,"[{'name': 'Action'}, {'name': 'Thriller'}]",,,,0,"4,105,123",,73.0,190531,Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,A
902,End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.","https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",2012,109 min,7.6,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"41,003,371",,68.0,228132,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,A
903,Kari-gurashi no Arietti,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.","https://m.media-amazon.com/images/M/MV5BZDY3ZGI0ZDAtMThlNy00MzAxLTg4YjAtNjkwYTkxNmQ4MjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,94 min,7.6,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Family'}]",,,,0,"19,202,743",,80.0,80939,Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,U
904,A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,"https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2018,136 min,7.6,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]",,,,0,"215,288,866",,88.0,334312,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,UA
905,True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"https://m.media-amazon.com/images/M/MV5BODhkZDIzNjgtOTA5ZS00MmMzLWFkNjYtM2Y2MzFjN2FkNjAzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",2010,110 min,7.6,"[{'name': 'Drama'}, {'name': 'Western'}]",,,,0,"171,243,005",,80.0,311822,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,PG-13
906,Hævnen,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.","https://m.media-amazon.com/images/M/MV5BNDY2OTE5MzE0Nl5BMl5BanBnXkFtZTcwNDAyOTc2NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,118 min,7.6,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"1,008,098",,65.0,38491,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,R
907,Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,95 min,7.6,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Crime'}]",,,,0,"251,513,985",,72.0,500851,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,U
908,50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.","https://m.media-amazon.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2011,100 min,7.6,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"35,014,192",,72.0,315426,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,R
909,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,117 min,7.6,"[{'name': 'Action'}, {'name': 'Comedy'}, {'name': 'Crime'}]",,,,0,"48,071,303",,66.0,524081,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,UA
910,Celda 211,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.","https://m.media-amazon.com/images/M/MV5BMjI2ODE4ODAtMDA3MS00ODNkLTg4N2EtOGU0YjZmNGY4NjZlXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_UY98_CR0,0,67,98_AL_.jpg",2009,113 min,7.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Crime'}]",,,,0,,,,63882,Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón,
911,Moneyball,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"https://m.media-amazon.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_UX67_CR0,0,67,98_AL_.jpg",2011,133 min,7.6,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'Sport'}]",,,,0,"75,605,492",,87.0,369529,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,PG-13
912,La piel que habito,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.","https://m.media-amazon.com/images/M/MV5BYmFmNjY5NDYtZjlhNi00YjQ5LTgzNzctNWRiNWUzNmIyNjc4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR0,0,67,98_AL_.jpg",2011,120 min,7.6,"[{'name': 'Drama'}, {'name': 'Horror'}, {'name': 'Thriller'}]",,,,0,"3,185,812",,70.0,138959,Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,R
913,Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.","https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_UY98_CR1,0,67,98_AL_.jpg",2009,88 min,7.6,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Fantasy'}]",,,,0,"75,590,286",,73.0,520041,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,A
914,Die Welle,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,"https://m.media-amazon.com/images/M/MV5BMzc0ZmUyZjAtZThkMi00ZDY5LTg5YjctYmUwM2FiYjMyMDI5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2008,107 min,7.6,"[{'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,,,,102742,Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich,
915,Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,"https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",2009,128 min,7.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Mystery'}]",,,,0,"209,028,679",,57.0,583158,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,PG-13
916,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",2009,129 min,7.6,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'Sport'}]",,,,0,"255,959,475",,53.0,293266,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,UA
917,The Visitor,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,"https://m.media-amazon.com/images/M/MV5BMTIzNTg3NzkzNV5BMl5BanBnXkFtZTcwNzMwMjU2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,104 min,7.6,[{'name': 'Drama'}],,,,0,"9,422,422",,79.0,41544,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,PG-13
918,Seven Pounds,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,"https://m.media-amazon.com/images/M/MV5BMTU0NzY0MTY5OF5BMl5BanBnXkFtZTcwODY3MDEwMg@@._V1_UY98_CR3,0,67,98_AL_.jpg",2008,123 min,7.6,[{'name': 'Drama'}],,,,0,"69,951,824",,36.0,286770,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,UA
919,Eastern Promises,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,"https://m.media-amazon.com/images/M/MV5BMTcwMzU0OTY3NF5BMl5BanBnXkFtZTYwNzkwNjg2._V1_UX67_CR0,0,67,98_AL_.jpg",2007,100 min,7.6,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"17,114,882",,82.0,227760,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,R
920,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.","https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,127 min,7.6,"[{'name': 'Adventure'}, {'name': 'Family'}, {'name': 'Fantasy'}]",,,,0,"38,634,938",,66.0,255036,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,U
921,The Secret of Kells,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.","https://m.media-amazon.com/images/M/MV5BMjEzMjEzNTIzOF5BMl5BanBnXkFtZTcwMTg2MjAyMw@@._V1_UY98_CR0,0,67,98_AL_.jpg",2009,71 min,7.6,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Family'}]",,,,0,"686,383",,81.0,31779,Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally,
922,Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.","https://m.media-amazon.com/images/M/MV5BYjc4MjA2ZDgtOGY3YS00NDYzLTlmNTEtYWMxMzcwZjgzYWNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",2006,129 min,7.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"88,513,495",,76.0,339757,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,R
923,Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.","https://m.media-amazon.com/images/M/MV5BYmM2NDNiNGItMTRhMi00ZDA2LTgzOWMtZTE2ZjFhMDQ2M2U5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,114 min,7.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"20,300,218",,72.0,250590,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,R
924,La Vie En Rose,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.","https://m.media-amazon.com/images/M/MV5BOTBmZDZkNWYtODIzYi00N2Y4LWFjMmMtNmM1OGYyNGVhYzUzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2007,140 min,7.6,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'Music'}]",,,,0,"10,301,706",,66.0,82781,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,PG-13
925,Huo Yuan Jia,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.","https://m.media-amazon.com/images/M/MV5BMTI5MjA2Mzk2M15BMl5BanBnXkFtZTcwODY1MDUzMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2006,104 min,7.6,"[{'name': 'Action'}, {'name': 'Biography'}, {'name': 'Drama'}]",,,,0,"24,633,730",,70.0,72863,Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu,PG-13
926,The Illusionist,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.","https://m.media-amazon.com/images/M/MV5BY2VkMzZlZDAtNTkzNS00MDIzLWFmOTctMWQwZjQ1OWJiYzQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY98_CR1,0,67,98_AL_.jpg",2006,110 min,7.6,"[{'name': 'Drama'}, {'name': 'Fantasy'}, {'name': 'Mystery'}]",,,,0,"39,868,642",,68.0,354728,Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,U
927,Dead Man's Shoes,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,"https://m.media-amazon.com/images/M/MV5BMTI5Mzk1MDc2M15BMl5BanBnXkFtZTcwMjIzMDA0MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2004,90 min,7.6,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"6,013",,52.0,49728,Shane Meadows,Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden,
928,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",2009,153 min,7.6,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Family'}]",,,,0,"301,959,197",,78.0,474827,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,UA
929,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,"https://m.media-amazon.com/images/M/MV5BNWMxYTZlOTUtZDExMi00YzZmLTkwYTMtZmM2MmRjZmQ3OGY4XkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_UX67_CR0,0,67,98_AL_.jpg",2006,117 min,7.6,"[{'name': 'Action'}, {'name': 'Drama'}]",,,,0,"210,614,939",,52.0,732876,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,A
